animal.tag;substance;random;noisywinstay;dual;fictitious;hybrid;forgetful;Qd;Qd+fictitious;Qd+hybrid;bd;bd+fictitious
900110000199391;alcohol;160.85805298;150.91757438;-0.00335379000000202;5.27196083;1.33085834;1.98719106;2.00000029;7.27206969;3.08699348;0.654359379999999;6.21389554
900110000199392;alcohol;628.5145509;604.5657769;-10.2612896000001;76.112632;-13.1531288;2.00000349999993;1.55095459999995;78.112695;-11.1485720000001;-0.00851469999997789;73.9836538999999
900110000199393;alcohol;104.5444085;86.3180684;1.98593349999999;36.4918683;0.99217920000001;1.99999980000001;-6.26632740000002;36.3485789;-2.88954189999998;0.433653300000003;38.4918683
900110000199395;alcohol;572.7912744;553.1095364;-5.61988439999993;336.8191754;-0.800911999999926;2.00000239999997;2.00000120000004;365.9110594;1.13629400000002;2.00000039999998;338.8191774
900110000199396;alcohol;593.467184;579.779148;-15.901513;171.680527;-15.4974460000001;2.00003399999991;1.9924860000001;179.623531;-13.484367;-6.29758500000003;169.046199
900110000199397;alcohol;342.8851572;305.1042422;0.294609499999979;48.2120811999999;0.53907229999993;2.00000439999997;2.00000030000001;52.3468662;2.65922060000003;2.00000739999996;50.3021232
900110000199399;alcohol;478.4438847;460.8980049;-2.9342829;146.2353058;-2.55217149999999;0.48932210000001;2.00004620000001;148.5966454;-0.797936599999986;0.597408400000006;147.4826713
900110000199400;alcohol;755.0618694;734.3911919;-0.923517400000009;190.8795477;-5.98460409999998;2.00000059999999;0.635718800000006;237.3395563;-3.98320809999998;2.0000402;192.8795571
900110000199541;saccharin;880.44398483;849.77306463;1.85110348;199.28050413;1.85110348;2.0262881;1.99069378;201.33190733;3.85110348;2.0000052;201.28051673
900110000199542;saccharin;324.052182;301.068497;-7.30180300000006;112.601291;-8.73781800000006;1.76862700000015;2.00001599999996;113.319181;-6.73772400000007;1.99999300000013;113.891418
900110000199543;saccharin;693.4740629;686.9691039;-48.4046046;540.4940733;-63.2834515;2.0000129;-23.6727721;542.2471375;-61.2779477;2.00000660000001;542.4941082
900110000199544;saccharin;23.0023839999999;24.928044;0.103489999999965;21.248752;-1.96221000000014;1.81475799999998;29.0023839999999;18.931554;-45.1031310000001;2.00003300000003;23.2487819999999
900110000199545;saccharin;26.881879;26.1762229999999;-5.80116500000008;15.378236;3.89206800000011;2.00001799999995;2.00887499999999;15.628459;-51.218903;4.41424899999993;17.378252
900110000199546;saccharin;153.714997;114.454926;67.9736600000001;52.3183159999999;-7.11558299999979;10.1060219999999;-18.9187959999999;51.8852780000002;-12.7777339999998;69.033774;54.2587480000002
900110000199547;saccharin;29.281303;29.7432349999999;16.0817749999999;4.25978999999984;1.65983099999994;1.79402699999991;14.7113939999999;2.69971099999998;-91.55186;14.469828;6.25981000000002
900110000199548;saccharin;47.3485269999999;49.177539;-6.97501099999999;28.572739;1.47545999999988;2.00596999999993;-0.960150000000112;30.5066629999999;-25.396737;27.956723;30.2534089999997
900110000199549;saccharin;50.598931;45.4567189999998;1.99138700000003;-1.7252410000001;-11.077765;0.613316999999824;7.20393599999989;0.274767999999767;-91.907044;1.99898099999973;0.274781000000075
900110000199550;saccharin;218.677765;213.362225;-7.11682200000018;62.5131449999999;-0.510451000000103;0.810193000000027;1.94586699999991;64.5134419999999;1.47563599999989;2.00000199999999;64.5131469999999
900110000217731;alcohol;690.4765182;672.1306618;-14.2362921;162.3572036;-38.1432429;2.0000038;-1.77436220000004;173.0118888;-36.1431936;0.526755600000001;161.7154092
900110000217732;alcohol;163.8239949;152.3129107;-0.916625199999999;80.212598;2.79493030000003;2.00022779999995;0.49050920000002;81.1675814;16.4061349999999;2.00037129999998;82.2126121
900110000217733;alcohol;633.0325121;611.6181221;-5.50195699999995;219.6920176;-18.3372617;2.00002160000008;-2.94697079999992;222.3255866;-16.4607199;-0.128678599999944;219.8092251
900110000217734;alcohol;376.3770034;360.3926051;-8.2071224;175.3910531;0.0389748000000054;1.33026710000001;2.00001969999994;176.4154549;1.97904689999996;2.00000920000002;177.3910605
